tenant1,tenant2,covariance,metric,phase,round_id
tenant-mem,tenant-nsy,478532.7964481853,network_throughput,2-CPU-Noise,round-3
tenant-mem,tenant-ntk,20519927.667463634,network_throughput,2-CPU-Noise,round-3
tenant-nsy,tenant-ntk,11204074.358327482,network_throughput,2-CPU-Noise,round-3
tenant-cpu,tenant-dsk,362386.0086191245,network_throughput,3-Memory-Noise,round-3
tenant-cpu,tenant-mem,386913.312371481,network_throughput,3-Memory-Noise,round-3
tenant-cpu,tenant-nsy,287238.0469389819,network_throughput,3-Memory-Noise,round-3
tenant-cpu,tenant-ntk,10859399.393376429,network_throughput,3-Memory-Noise,round-3
tenant-dsk,tenant-mem,284026.2980399418,network_throughput,3-Memory-Noise,round-3
tenant-dsk,tenant-nsy,270269.0290364616,network_throughput,3-Memory-Noise,round-3
tenant-dsk,tenant-ntk,12035177.406761615,network_throughput,3-Memory-Noise,round-3
tenant-mem,tenant-nsy,409908.1025000494,network_throughput,3-Memory-Noise,round-3
tenant-mem,tenant-ntk,5115712.258910399,network_throughput,3-Memory-Noise,round-3
tenant-nsy,tenant-ntk,5411531.630949854,network_throughput,3-Memory-Noise,round-3
tenant-cpu,tenant-dsk,406236.34155125613,network_throughput,4-Network-Noise,round-3
tenant-cpu,tenant-mem,361462.76694854,network_throughput,4-Network-Noise,round-3
tenant-cpu,tenant-nsy,-124284336395.67639,network_throughput,4-Network-Noise,round-3
tenant-cpu,tenant-ntk,26193964.920937493,network_throughput,4-Network-Noise,round-3
tenant-dsk,tenant-mem,31138.906343243412,network_throughput,4-Network-Noise,round-3
tenant-dsk,tenant-nsy,-214179240429.21906,network_throughput,4-Network-Noise,round-3
tenant-dsk,tenant-ntk,12050150.451117309,network_throughput,4-Network-Noise,round-3
tenant-mem,tenant-nsy,224139047229.2617,network_throughput,4-Network-Noise,round-3
tenant-mem,tenant-ntk,21277010.419215195,network_throughput,4-Network-Noise,round-3
tenant-nsy,tenant-ntk,8499297844900.0625,network_throughput,4-Network-Noise,round-3
tenant-cpu,tenant-dsk,219309.97488299196,network_throughput,5-Disk-Noise,round-3
tenant-cpu,tenant-mem,778257.9894680141,network_throughput,5-Disk-Noise,round-3
tenant-cpu,tenant-nsy,1089414.8076973544,network_throughput,5-Disk-Noise,round-3
tenant-cpu,tenant-ntk,4893524.985575028,network_throughput,5-Disk-Noise,round-3
tenant-dsk,tenant-mem,190750.19740845598,network_throughput,5-Disk-Noise,round-3
tenant-dsk,tenant-nsy,410617.7730450103,network_throughput,5-Disk-Noise,round-3
tenant-dsk,tenant-ntk,18038944.50746038,network_throughput,5-Disk-Noise,round-3
tenant-mem,tenant-nsy,1428028.8472227913,network_throughput,5-Disk-Noise,round-3
tenant-mem,tenant-ntk,11798584.077146843,network_throughput,5-Disk-Noise,round-3
tenant-nsy,tenant-ntk,-35536378.032019496,network_throughput,5-Disk-Noise,round-3
tenant-cpu,tenant-dsk,249610.86354696436,network_throughput,6-Combined-Noise,round-3
tenant-cpu,tenant-mem,308345.4901530885,network_throughput,6-Combined-Noise,round-3
tenant-cpu,tenant-nsy,-177131009121.31317,network_throughput,6-Combined-Noise,round-3
tenant-cpu,tenant-ntk,2953432.6496753497,network_throughput,6-Combined-Noise,round-3
tenant-dsk,tenant-mem,280388.01669965556,network_throughput,6-Combined-Noise,round-3
tenant-dsk,tenant-nsy,-8942828518.766354,network_throughput,6-Combined-Noise,round-3
tenant-dsk,tenant-ntk,6913593.335183832,network_throughput,6-Combined-Noise,round-3
tenant-mem,tenant-nsy,-181253229333.82495,network_throughput,6-Combined-Noise,round-3
tenant-mem,tenant-ntk,5336826.503433954,network_throughput,6-Combined-Noise,round-3
tenant-nsy,tenant-ntk,4017448232172.207,network_throughput,6-Combined-Noise,round-3
tenant-cpu,tenant-dsk,1101314.2801582715,network_throughput,7-Recovery,round-3
tenant-cpu,tenant-mem,517852.5706382226,network_throughput,7-Recovery,round-3
tenant-cpu,tenant-nsy,-44127007400.265854,network_throughput,7-Recovery,round-3
tenant-cpu,tenant-ntk,29132720.808457986,network_throughput,7-Recovery,round-3
tenant-dsk,tenant-mem,684961.9050483205,network_throughput,7-Recovery,round-3
tenant-dsk,tenant-nsy,43330552592.63793,network_throughput,7-Recovery,round-3
tenant-dsk,tenant-ntk,38915797.05267128,network_throughput,7-Recovery,round-3
tenant-mem,tenant-nsy,-3703323535.303552,network_throughput,7-Recovery,round-3
tenant-mem,tenant-ntk,35295497.76461601,network_throughput,7-Recovery,round-3
tenant-nsy,tenant-ntk,3998392320716.8286,network_throughput,7-Recovery,round-3
tenant-cpu,tenant-dsk,1036807607205.6667,disk_io_total,1-Baseline,round-3
tenant-cpu,tenant-mem,337628762.5196135,disk_io_total,1-Baseline,round-3
tenant-cpu,tenant-ntk,153563143.7773874,disk_io_total,1-Baseline,round-3
tenant-dsk,tenant-mem,1092326464024.597,disk_io_total,1-Baseline,round-3
tenant-dsk,tenant-ntk,-88914652767.53589,disk_io_total,1-Baseline,round-3
tenant-mem,tenant-ntk,195035930.9611093,disk_io_total,1-Baseline,round-3
tenant-cpu,tenant-dsk,15319528693.599707,disk_io_total,2-CPU-Noise,round-3
tenant-cpu,tenant-mem,214224319.45904896,disk_io_total,2-CPU-Noise,round-3
tenant-cpu,tenant-nsy,249136420.00014058,disk_io_total,2-CPU-Noise,round-3
tenant-cpu,tenant-ntk,20055353.01986421,disk_io_total,2-CPU-Noise,round-3
tenant-dsk,tenant-mem,12964686988.994108,disk_io_total,2-CPU-Noise,round-3
tenant-dsk,tenant-nsy,25939458243.793,disk_io_total,2-CPU-Noise,round-3
tenant-dsk,tenant-ntk,7851360652.82086,disk_io_total,2-CPU-Noise,round-3
tenant-mem,tenant-nsy,437711204.83431613,disk_io_total,2-CPU-Noise,round-3
tenant-mem,tenant-ntk,379330240.00383955,disk_io_total,2-CPU-Noise,round-3
tenant-nsy,tenant-ntk,-264528752.0375939,disk_io_total,2-CPU-Noise,round-3
tenant-cpu,tenant-dsk,11188477263.52282,disk_io_total,3-Memory-Noise,round-3
tenant-cpu,tenant-mem,260944500.59006748,disk_io_total,3-Memory-Noise,round-3
tenant-cpu,tenant-nsy,307098627.5380595,disk_io_total,3-Memory-Noise,round-3
