tenant_id,metric_name,experimental_phase,round_id,count,mean,std,min,max,skewness,kurtosis
tenant-nsy,network_transmit,2-CPU-Noise,round-7,350,1533.1978436728102,237.3063590954817,644.1108096058052,2104.1129721653665,-0.5303443075428339,0.2429027793846954
tenant-nsy,network_transmit,3-Memory-Noise,round-7,350,1707.3072291893955,230.85772235849902,866.4246433307524,2130.926252211377,-0.8136400657697184,0.6845080962109455
tenant-nsy,network_transmit,4-Network-Noise,round-7,345,1803153913.9464083,423364272.3325171,1101.1354104515287,2108234984.7866457,-2.7423685969394755,8.240486782040467
tenant-nsy,network_transmit,5-Disk-Noise,round-7,351,3046.2886432000505,6886.969562648691,1091.250240542353,54301.99614425377,6.8922640414387875,45.888160524520174
tenant-nsy,network_transmit,6-Combined-Noise,round-7,345,1785251317.114365,509388072.06573766,1854.7697489790403,2205598176.7602983,-2.5658810170601645,6.0019902872280015
tenant-nsy,network_transmit,7-Recovery,round-7,185,84486672.43856654,368194040.51790094,96.925,2019471541.999538,4.411151017771215,18.579503459014738
tenant-ntk,cpu_usage,1-Baseline,round-7,334,3.6882851292161267,0.37549689536850206,1.0926336533369696,4.084081615549559,-3.545829676084745,18.83435244584545
tenant-ntk,cpu_usage,2-CPU-Noise,round-7,350,3.629479693961418,0.23268923041269643,2.721135036430272,4.064901803471505,-0.797935440076078,0.768759966549724
tenant-ntk,cpu_usage,3-Memory-Noise,round-7,350,3.7185757956857755,0.22959547271351388,2.943143471865044,4.115434547466664,-0.854028237232135,0.5044653521339546
tenant-ntk,cpu_usage,4-Network-Noise,round-7,345,3.540526683278839,0.23143837664774877,2.7089420519757805,3.928466851475604,-0.80796991865643,0.45311529726344846
tenant-ntk,cpu_usage,5-Disk-Noise,round-7,351,3.757153508102282,0.24546082311745251,2.7872078348672145,4.1971449654957,-0.8722791773071787,0.7471090846332742
tenant-ntk,cpu_usage,6-Combined-Noise,round-7,345,3.5392112275450773,0.22658725322737386,2.735877379980886,3.957925104526129,-0.6594316213378959,0.19895759572776672
tenant-ntk,cpu_usage,7-Recovery,round-7,185,3.7464054159245457,0.26392821540005396,3.078714598031875,4.162439850150374,-0.589402023664752,-0.31251145071069786
tenant-ntk,disk_io_total,1-Baseline,round-7,334,297704.3224735178,45165.58332977928,174142.81311690228,456320.8126849801,0.012276209738248516,0.7103816701435552
tenant-ntk,disk_io_total,2-CPU-Noise,round-7,350,297059.7717463706,37286.6346424842,162871.78596840362,380944.538314312,-0.4538668601903787,0.2983108008800781
