tenant_id,metric_name,experimental_phase,mean,volatility,count,baseline_mean,baseline_std,baseline_count,percentage_change,cohen_d,p_value,is_significant,round_id
tenant-mem,disk_io_total,6-Combined-Noise,218222.8162870197,34169.36232975011,152,300327.8120261971,42439.71395564376,337,-27.3384589942724,-2.049629977301798,2.0271416782476438e-71,True,round-8
tenant-mem,disk_io_total,7-Recovery,277969.6413804792,42476.05053271093,214,300327.8120261971,42439.71395564376,337,-7.444588796114432,-0.5266469081979812,3.5242231571896147e-09,True,round-8
tenant-mem,memory_usage,2-CPU-Noise,264022530.92571428,49642991.81800017,350,263928920.1186944,49514617.05823703,337,0.0354681885478182,0.0018880735365764,0.9802690582935668,False,round-8
tenant-mem,memory_usage,3-Memory-Noise,262166023.25212464,48179425.116683446,353,263928920.1186944,49514617.05823703,337,-0.6679438031182472,-0.0360982641945334,0.6358765548892247,False,round-8
tenant-mem,memory_usage,4-Network-Noise,263774629.30285716,47353297.1905002,350,263928920.1186944,49514617.05823703,337,-0.0584592305261001,-0.0031861478993023,0.9667398788141596,False,round-8
tenant-mem,memory_usage,5-Disk-Noise,274410848.9039548,48978935.56432946,354,263928920.1186944,49514617.05823703,337,3.971496863832314,0.2128703920199482,0.0053145093000463,True,round-8
tenant-mem,memory_usage,6-Combined-Noise,274565551.15789473,53522891.7351535,152,263928920.1186944,49514617.05823703,337,4.030111984096646,0.2094184710183138,0.0383563471136223,True,round-8
tenant-mem,memory_usage,7-Recovery,270349283.28971964,42113082.07082497,214,263928920.1186944,49514617.05823703,337,2.4326107075109102,0.1372393865718055,0.1042560707884256,False,round-8
tenant-mem,network_receive,2-CPU-Noise,9361.84219602513,1394.319091658052,350,9704.706307546305,1534.1608507934734,337,-3.532967414527153,-0.2341036664010369,0.0022868068912333,True,round-8
tenant-mem,network_receive,3-Memory-Noise,9800.732412417648,1188.552417762343,353,9704.706307546305,1534.1608507934734,337,0.9894797619653318,0.0701797584764085,0.3599335284931942,False,round-8
tenant-mem,network_receive,4-Network-Noise,9501.438688360407,1262.1175171643856,350,9704.706307546305,1534.1608507934734,337,-2.0945262303078267,-0.1449666075960219,0.0588585703496284,False,round-8
tenant-mem,network_receive,5-Disk-Noise,8867.338366548636,1120.4032906168757,354,9704.706307546305,1534.1608507934734,337,-8.62847276837771,-0.6257162642605993,1.901579877938688e-15,True,round-8
tenant-mem,network_receive,6-Combined-Noise,7091.841069659599,1052.0358501997923,152,9704.706307546305,1534.1608507934734,337,-26.923692022034302,-1.862988123363338,7.329351604738703e-71,True,round-8
tenant-mem,network_receive,7-Recovery,9028.796083313387,1389.4646115795915,214,9704.706307546305,1534.1608507934734,337,-6.964767431522715,-0.4567878468657044,1.410839663882849e-07,True,round-8
tenant-mem,network_transmit,2-CPU-Noise,1632.473093391296,233.92324685257503,350,1688.170556022634,250.9142440133384,337,-3.299279354958204,-0.2297689653073533,0.002739034365733,True,round-8
tenant-mem,network_transmit,3-Memory-Noise,1710.1491104963757,199.17800859982904,353,1688.170556022634,250.9142440133384,337,1.3019155200481445,0.0972805767857475,0.2043252489942534,False,round-8
tenant-mem,network_transmit,4-Network-Noise,1647.284760902652,206.77681232609004,350,1688.170556022634,250.9142440133384,337,-2.4218995512106094,-0.1781594557629487,0.0203255596235952,True,round-8
tenant-mem,network_transmit,5-Disk-Noise,1562.2438346787687,195.33712925692888,354,1688.170556022634,250.9142440133384,337,-7.4593601277202275,-0.5617514586193914,6.720669883792048e-13,True,round-8
tenant-mem,network_transmit,6-Combined-Noise,1258.3995069122784,178.39713504217218,151,1688.170556022634,250.9142440133384,337,-25.457797944474603,-1.8606867153721185,1.0853797645164966e-68,True,round-8
tenant-mem,network_transmit,7-Recovery,1573.357762349237,243.8765706333092,213,1688.170556022634,250.9142440133384,337,-6.8010186093932585,-0.4625532368597036,1.6369988039107718e-07,True,round-8
tenant-ntk,cpu_usage,2-CPU-Noise,3.632041030776047,0.2238478127384207,350,3.691739720324563,0.3337418252236276,337,-1.617088258412434,-0.2108503670550401,0.0062752148304617,True,round-8
tenant-ntk,cpu_usage,3-Memory-Noise,3.6651402362798815,0.2178162252869216,353,3.691739720324563,0.3337418252236276,337,-0.7205135264070888,-0.0948348335977279,0.2178450042615245,False,round-8
tenant-ntk,cpu_usage,4-Network-Noise,3.582988059038928,0.2256582521196742,350,3.691739720324563,0.3337418252236276,337,-2.9458106346694013,-0.3831115396533152,8.182548262582362e-07,True,round-8
tenant-ntk,cpu_usage,5-Disk-Noise,3.7208793726614906,0.2297401627953464,354,3.691739720324563,0.3337418252236276,337,0.7893203352474032,0.1021600944677892,0.1838409091376862,False,round-8
tenant-ntk,cpu_usage,6-Combined-Noise,3.4748101601035475,0.262538551251611,151,3.691739720324563,0.3337418252236276,337,-5.876079481625648,-0.6919697962341839,1.0568115385345889e-13,True,round-8
tenant-ntk,cpu_usage,7-Recovery,3.717779934896407,0.2591036206250731,214,3.691739720324563,0.3337418252236276,337,0.7053643145122407,0.0848364027765444,0.3053874453616997,False,round-8
tenant-ntk,disk_io_total,2-CPU-Noise,301081.2122035498,40017.11361210341,350,302922.07762963447,39822.1747953394,337,-0.6077026278472142,-0.0461120002644163,0.5458702481412612,False,round-8
tenant-ntk,disk_io_total,3-Memory-Noise,302398.12576421624,41180.56178026852,353,302922.07762963447,39822.1747953394,337,-0.1729658892868277,-0.0129297872796754,0.865134455180907,False,round-8
tenant-ntk,disk_io_total,4-Network-Noise,298395.736816773,41951.688478866745,350,302922.07762963447,39822.1747953394,337,-1.4942261218726858,-0.110611717472449,0.1473003409745536,False,round-8
tenant-ntk,disk_io_total,5-Disk-Noise,304021.13515431515,42673.26728396809,354,302922.07762963447,39822.1747953394,337,0.3628185615524659,0.0266067404364666,0.72630063440344,False,round-8
