metric_name,phase,tenant1,tenant2,mean_correlation,std_correlation
network_total_bandwidth,5 - Disk Noise,tenant-mem,tenant-nsy,0.15794250640977753,0.0809179861264835
network_total_bandwidth,5 - Disk Noise,tenant-mem,tenant-ntk,0.25273375777797574,0.0633031513091801
network_total_bandwidth,5 - Disk Noise,tenant-nsy,tenant-ntk,0.2486897919698322,0.047230340220432356
network_total_bandwidth,6 - Combined Noise,tenant-cpu,tenant-dsk,0.19988110538702097,0.05481564179848639
network_total_bandwidth,6 - Combined Noise,tenant-cpu,tenant-mem,0.15811793017621573,0.05387262480871173
network_total_bandwidth,6 - Combined Noise,tenant-cpu,tenant-nsy,0.15464567763062878,0.04870277828543066
network_total_bandwidth,6 - Combined Noise,tenant-cpu,tenant-ntk,0.2744890672506923,0.037963916979674744
network_total_bandwidth,6 - Combined Noise,tenant-dsk,tenant-mem,0.15169715013603532,0.1036930006967951
network_total_bandwidth,6 - Combined Noise,tenant-dsk,tenant-nsy,0.27605840168441564,0.05878966276828739
network_total_bandwidth,6 - Combined Noise,tenant-dsk,tenant-ntk,0.3036717393441666,0.12136533325013195
network_total_bandwidth,6 - Combined Noise,tenant-mem,tenant-nsy,0.19265322496474477,0.0923371399432427
network_total_bandwidth,6 - Combined Noise,tenant-mem,tenant-ntk,0.2245243955341367,0.0583570889774069
network_total_bandwidth,6 - Combined Noise,tenant-nsy,tenant-ntk,0.2741695822828321,0.09594752683490534
network_total_bandwidth,7 - Recovery,tenant-cpu,tenant-dsk,0.18942255033456634,0.11383500456803472
network_total_bandwidth,7 - Recovery,tenant-cpu,tenant-mem,0.23436463166802476,0.06674655917637788
network_total_bandwidth,7 - Recovery,tenant-cpu,tenant-nsy,0.0299227889044275,0.033686794510513964
network_total_bandwidth,7 - Recovery,tenant-cpu,tenant-ntk,0.20006747633550534,0.10392182286505229
network_total_bandwidth,7 - Recovery,tenant-dsk,tenant-mem,0.1959424676283187,0.05452841859979186
network_total_bandwidth,7 - Recovery,tenant-dsk,tenant-nsy,0.06277020661301685,0.0706375960252548
network_total_bandwidth,7 - Recovery,tenant-dsk,tenant-ntk,0.23499656006935102,0.08861700356785256
network_total_bandwidth,7 - Recovery,tenant-mem,tenant-nsy,-0.12007617803422856,0.038419785500506426
network_total_bandwidth,7 - Recovery,tenant-mem,tenant-ntk,0.2738840337152597,0.09307562208235107
network_total_bandwidth,7 - Recovery,tenant-nsy,tenant-ntk,0.03943628389466892,0.11959542538029637
